"url","title","minPrice","price","vendor","variantName"
"https://warehouse-theme-metal.myshopify.com/products/jbl-flip-4-waterproof-portable-bluetooth-speaker","JBL Flip 4 Waterproof Portable Bluetooth Speaker",7495,7495,"JBL","Black"
"https://warehouse-theme-metal.myshopify.com/products/jbl-flip-4-waterproof-portable-bluetooth-speaker","JBL Flip 4 Waterproof Portable Bluetooth Speaker",7495,7495,"JBL","Blue"
"https://warehouse-theme-metal.myshopify.com/products/jbl-flip-4-waterproof-portable-bluetooth-speaker","JBL Flip 4 Waterproof Portable Bluetooth Speaker",7495,7495,"JBL","Grey"
"https://warehouse-theme-metal.myshopify.com/products/jbl-flip-4-waterproof-portable-bluetooth-speaker","JBL Flip 4 Waterproof Portable Bluetooth Speaker",7495,7495,"JBL","Red"
"https://warehouse-theme-metal.myshopify.com/products/jbl-flip-4-waterproof-portable-bluetooth-speaker","JBL Flip 4 Waterproof Portable Bluetooth Speaker",7495,7495,"JBL","Teal"
"https://warehouse-theme-metal.myshopify.com/products/jbl-flip-4-waterproof-portable-bluetooth-speaker","JBL Flip 4 Waterproof Portable Bluetooth Speaker",7495,7495,"JBL","White"
"https://warehouse-theme-metal.myshopify.com/products/jbl-flip-4-waterproof-portable-bluetooth-speaker","JBL Flip 4 Waterproof Portable Bluetooth Speaker",7495,7495,"JBL","Camo"
"https://warehouse-theme-metal.myshopify.com/products/sony-xbr-65x950g-65-class-64-5-diag-bravia-4k-hdr-ultra-hd-tv","Sony XBR-950G BRAVIA 4K HDR Ultra HD TV",139800,139800,"Sony","55"""
"https://warehouse-theme-metal.myshopify.com/products/sony-xbr-65x950g-65-class-64-5-diag-bravia-4k-hdr-ultra-hd-tv","Sony XBR-950G BRAVIA 4K HDR Ultra HD TV",139800,219800,"Sony","65"""
"https://warehouse-theme-metal.myshopify.com/products/sony-sacs9-10-inch-active-subwoofer","Sony SACS9 10"" Active Subwoofer",15800,15800,"Sony",
"https://warehouse-theme-metal.myshopify.com/products/sony-ps-hx500-hi-res-usb-turntable","Sony PS-HX500 Hi-Res USB Turntable",39800,39800,"Sony",
"https://warehouse-theme-metal.myshopify.com/products/klipsch-r-120sw-powerful-detailed-home-speaker-set-of-1","Klipsch R-120SW Powerful Detailed Home Speaker - Unit",32400,32400,"Klipsch",
"https://warehouse-theme-metal.myshopify.com/products/denon-ah-c720-in-ear-headphones","Denon AH-C720 In-Ear Headphones",11900,11900,"Denon","Silver"
"https://warehouse-theme-metal.myshopify.com/products/denon-ah-c720-in-ear-headphones","Denon AH-C720 In-Ear Headphones",11900,11900,"Denon","Black"
"https://warehouse-theme-metal.myshopify.com/products/sony-xbr85x850f-85-inch-4k-ultra-hd-smart-led-tv","Sony XBR-85X850F 85-Inch 4K Ultra HD Smart LED TV",349800,349800,"Sony",
"https://warehouse-theme-metal.myshopify.com/products/sony-xbr75x850f-75-inch-4k-ultra-hd-smart-led-tv","Sony XBR-75X850F 75-Inch 4K Ultra HD Smart LED TV",199800,199800,"Sony",
"https://warehouse-theme-metal.myshopify.com/products/sony-xbr55a8f-55-inch-4k-ultra-hd-smart-bravia-oled-tv","Sony XBR-55A8F 55-Inch 4K Ultra HD Smart BRAVIA OLED TV",229800,229800,"Sony",
"https://warehouse-theme-metal.myshopify.com/products/sony-xb950-extra-bass-wireless-headphones-with-app-control","Sony XB-950B1 Extra Bass Wireless Headphones with App Control",12800,12800,"Sony","Blue"
"https://warehouse-theme-metal.myshopify.com/products/sony-xb950-extra-bass-wireless-headphones-with-app-control","Sony XB-950B1 Extra Bass Wireless Headphones with App Control",12800,17800,"Sony","Red"
"https://warehouse-theme-metal.myshopify.com/products/sony-xb950-extra-bass-wireless-headphones-with-app-control","Sony XB-950B1 Extra Bass Wireless Headphones with App Control",12800,17800,"Sony","Black"
"https://warehouse-theme-metal.myshopify.com/products/sony-ubpx1000es-4k-ultra-hd-blu-ray-disc-player","Sony UBPX1000ES 4K Ultra HD Blu-Ray Disc Player",49800,49800,"Sony",
"https://warehouse-theme-metal.myshopify.com/products/sony-s200f-2-1ch-sound-bar-with-built-in-subwoofer-and-bluetooth-ht200f","Sony S200F 2.1-Ch Sound Bar with Built-In Subwoofer and Bluetooth (HT200F)",14800,14800,"Sony",
"https://warehouse-theme-metal.myshopify.com/products/sony-ht-z9f-3-1ch-dolby-atmos-dts-x-soundbar-with-wi-fi-bluetooth","Sony HT-Z9F 3.1-Ch Dolby Atmos/DTS:X Sound Bar with Wi-Fi/Bluetooth",79800,79800,"Sony",
